serial_number,device_model,customer_name,a4_mono,a4_colour,a3_mono,a3_colour,scans,reading_date
RME33499,imageRUNNER C1325iF,ADV MONYELA STEPHEN PTY LTD,54111,33301,0,0,2,2026-02-04
3VR34253,i-SENSYS X C1333iF,ADVENT TRAVEL CONSULTANTS PTY LTD,0,0,0,0,0,2026-09-09
2YM38258,iR-ADV DX C5840i,AFRICAN SPIRITS 786 CC,42660,34397,0,0,2,2026-09-08
4MB42895,iR-ADV DX C3930i,AFRICAN SPIRITS 786 CC,23894,20726,0,0,2,2026-09-08
3VR58147,i-SENSYS X C1333iF,ALUTOP GLASS AND ALUMINIUM PTY LTD,604,91,0,0,0,2026-08-12
CZBBQB20D5,MF9220Cdn,AM MAKWALA ACCOUNTANTS,0,0,0,0,0,2026-09-09
CZBBT25057,DUMMY DEVICE FOR C-EXV 10,AM MAKWALA ACCOUNTANTS,0,0,0,0,0,2026-09-09
2TT05706,iR 1643iF,ANGASI FARMS PTY LTD,134703,0,0,0,0,2026-09-03
3V547105,i-SENSYS X C1333i,ANTHONIAS CONSTRUCTION,0,0,0,0,0,2026-09-09
4UX42288,i-SENSYS X 1440i,APEX PERFORMANCE CLUTCH AND BRAKE PTY LTD,3082,0,0,0,0,2026-09-09
3EB03080,iR C1538iF,ARCTIC FOX SECURITY PTY LTD,90221,65365,0,0,16,2026-09-09
CNB1Q5K3BY,DUMMY DEVICE FOR C-EXV 10,B H LESEBE ATTORNEYS PTY LTD,0,0,0,0,0,2026-09-09
4MM42572,iR-ADV DX C3926i,BAROKA VILLAGE PTY LTD,4966,12598,0,0,1,2026-09-09
CZBBQ8P1SJ,DUMMY DEVICE FOR C-EXV 10,BAROLONG & MABUTANE DYNAMIC TOMBSTONE,0,0,0,0,0,2026-09-09
2YA25677,iR-ADV DX C5850i,BASIC BLUE TRADING,12192,59910,0,0,1,2026-09-09
4GV00795,iR-ADV DX 619i,BASIC BLUE TRADING,150301,0,0,0,4,2026-09-09
4MM42573,iR-ADV DX C3926i,BATHOKWA MM CONSULTING PTY LTD,12856,5637,0,0,1,2026-09-09
23A07875,iR-ADV DX 527i,BENNY SELOKELA MASHOLA,991530,0,0,0,36,2026-09-09
4MB00783,iR-ADV DX C3930i,BLUEDOT G SERVICES,78685,89377,0,0,6,2026-09-09
2TT23130,iR 1643iF,BREED LOVE PRE SCHOOL AND DAY CARE,0,0,0,0,0,2026-09-09
2TU12979,iR 1643i,BUILD IT BOCHUM,443047,0,0,0,0,2026-05-13
2TT23135,iR 1643i,BUILD IT DZANANI,129343,0,0,0,0,2026-09-09
2TU12986,iR 1643i,BUILD IT LOUIS TRICHARDT,347862,0,0,0,0,2026-09-09
